Time (s)	Liquid height relative to zero point (mm)
22.3000	0.8094
22.3167	0.5776
22.3333	0.2300
22.3500	0.0852
22.3667	-0.0597
22.3833	-0.0017
22.4000	0.2300
22.4167	0.5487
22.4333	0.8963
22.4500	1.2149
22.4667	1.5336
22.4833	1.7654
22.5000	1.7654
22.5167	0.7225
22.5333	0.1141
22.5500	-0.5521
22.5667	-0.7260
22.5833	-0.6101
22.6000	-0.4073
22.6167	-0.1176
22.6333	0.2010
22.6500	0.5487
22.6667	0.8673
22.6833	1.1570
22.7000	0.9542
22.7167	0.4038
22.7333	-0.0597
22.7500	-0.3783
22.7667	-0.3783
22.7833	-0.2625
22.8000	-0.1176
22.8167	0.1141
22.8333	0.3459
22.8500	0.5487
22.8667	0.6356
22.8833	0.2590
22.9000	-0.0886
22.9167	-0.4652
22.9333	-0.6680
22.9500	-0.7549
22.9667	-0.6390
22.9833	-0.4363
23.0000	-0.1176
23.0167	0.2590
23.0333	0.5487
23.0500	0.8094
23.0667	0.9832
23.0833	0.5487
23.1000	0.0272
23.1167	-0.4363
23.1333	-0.6970
23.1500	-0.7260
23.1667	-0.6101
23.1833	-0.3494
23.2000	-0.0017
23.2167	0.3459
23.2333	0.6935
23.2500	0.9832
23.2667	1.1860
23.2833	0.5197
23.3000	0.0562
23.3167	-0.4942
23.3333	-0.7839
23.3500	-0.7260
23.3667	-0.5521
23.3833	-0.2914
23.4000	-0.0307
23.4167	0.2590
23.4333	0.5197
23.4500	0.6935
23.4667	0.3749
23.4833	-0.0017
23.5000	-0.4073
23.5167	-0.6680
23.5333	-0.7260
23.5500	-0.6101
23.5667	-0.4363
23.5833	-0.2045
23.6000	0.0272
23.6167	0.2010
23.6333	0.1141
23.6500	-0.0597
23.6667	-0.2914
23.6833	-0.5232
23.7000	-0.6970
23.7167	-0.7839
23.7333	-0.6970
23.7500	-0.4942
23.7667	-0.1466
23.7833	0.2300
23.8000	0.4907
23.8167	0.7514
23.8333	0.8963
23.8500	0.7804
23.8667	0.5776
23.8833	0.2879
23.9000	0.0562
23.9167	-0.0886
23.9333	-0.0307
23.9500	0.1721
23.9667	0.4328
23.9833	0.6935
24.0000	0.8963
24.0167	1.0991
24.0333	0.8673
24.0500	0.5776
24.0667	0.2300
24.0833	-0.0597
24.1000	-0.2625
24.1167	-0.3783
24.1333	-0.2045
24.1500	0.0562
24.1667	0.4038
24.1833	0.7225
24.2000	1.0701
24.2167	1.3308
24.2333	1.0122
24.2500	0.5487
24.2667	0.0562
24.2833	-0.3494
24.3000	-0.5811
24.3167	-0.5811
24.3333	-0.4073
24.3500	-0.1466
24.3667	0.2590
24.3833	0.6356
24.4000	0.9253
24.4167	1.1860
24.4333	0.7804
24.4500	0.3169
24.4667	-0.2045
24.4833	-0.5521
24.5000	-0.6680
24.5167	-0.5521
24.5333	-0.3783
24.5500	-0.0886
24.5667	0.2300
24.5833	0.5197
24.6000	0.7804
24.6167	0.6935
24.6333	0.1141
24.6500	-0.3204
24.6667	-0.7260
24.6833	-0.8708
24.7000	-0.8708
24.7167	-0.7260
24.7333	-0.5521
24.7500	-0.3204
24.7667	-0.1466
24.7833	-0.0017
24.8000	-0.1756
24.8167	-0.3783
24.8333	-0.6101
24.8500	-0.8129
24.8667	-0.9577
24.8833	-1.0156
24.9000	-0.8418
24.9167	-0.5521
24.9333	-0.2045
24.9500	0.1721
24.9667	0.5487
24.9833	0.8384
25.0000	1.0411
25.0167	0.6935
25.0333	0.0852
25.0500	-0.4073
25.0667	-0.8418
25.0833	-0.8998
25.1000	-0.7839
25.1167	-0.5521
25.1333	-0.2045
25.1500	0.1431
25.1667	0.4907
25.1833	0.7225
25.2000	0.4618
25.2167	0.1141
25.2333	-0.3204
25.2500	-0.5521
25.2667	-0.6101
25.2833	-0.5232
25.3000	-0.3204
25.3167	-0.0597
25.3333	0.2300
25.3500	0.4907
25.3667	0.6645
25.3833	0.6066
25.4000	0.3749
25.4167	0.0272
25.4333	-0.2045
25.4500	-0.4073
25.4667	-0.4363
25.4833	-0.2335
25.5000	0.0272
25.5167	0.3459
25.5333	0.6645
25.5500	1.0122
25.5667	1.2439
25.5833	1.3598
25.6000	0.7804
25.6167	0.2300
25.6333	-0.2914
25.6500	-0.6680
25.6667	-0.6101
25.6833	-0.4073
25.7000	-0.1176
25.7167	0.2010
25.7333	0.5487
25.7500	0.8673
25.7667	1.1280
25.7833	1.3598
25.8000	0.6935
25.8167	0.2590
25.8333	-0.2625
25.8500	-0.4652
25.8667	-0.3783
25.8833	-0.2045
25.9000	0.0562
25.9167	0.3169
25.9333	0.5776
25.9500	0.6935
25.9667	0.4038
25.9833	0.1141
26.0000	-0.2625
26.0167	-0.4363
26.0333	-0.5232
26.0500	-0.5232
26.0667	-0.3204
26.0833	-0.1176
26.1000	0.1721
26.1167	0.3749
26.1333	0.6066
26.1500	0.7514
26.1667	0.5776
26.1833	0.3169
26.2000	-0.0017
26.2167	-0.2625
26.2333	-0.4363
26.2500	-0.4363
26.2667	-0.2335
26.2833	-0.0017
26.3000	0.3169
26.3167	0.6356
26.3333	0.6935
26.3500	0.2300
26.3667	-0.0597
26.3833	-0.4363
26.4000	-0.6390
26.4167	-0.7549
26.4333	-0.8708
26.4500	-0.8129
26.4667	-0.6101
26.4833	-0.2625
26.5000	0.0852
26.5167	0.3459
26.5333	0.2010
26.5500	-0.0307
26.5667	-0.1756
26.5833	-0.4652
26.6000	-0.5521
26.6167	-0.6970
26.6333	-0.6970
26.6500	-0.4363
26.6667	-0.1756
26.6833	0.2300
26.7000	0.5487
26.7167	0.8384
26.7333	1.0122
26.7500	0.7225
26.7667	0.3169
26.7833	-0.1466
26.8000	-0.4363
26.8167	-0.5811
26.8333	-0.5232
26.8500	-0.3204
26.8667	-0.0017
26.8833	0.3169
26.9000	0.6066
26.9167	0.8963
26.9333	1.0701
26.9500	0.4907
26.9667	-0.2335
26.9833	-0.8418
27.0000	-1.2474
27.0167	-1.3343
27.0333	-1.1895
27.0500	-0.8998
27.0667	-0.5521
27.0833	-0.2045
27.1000	-0.0597
27.1167	-0.4363
27.1333	-0.7839
27.1500	-1.0446
27.1667	-1.1605
27.1833	-1.2474
27.2000	-1.3922
27.2167	-1.3053
27.2333	-1.1895
27.2500	-0.8998
27.2667	-0.6101
27.2833	-0.3494
27.3000	-0.3494
27.3167	-0.5811
27.3333	-0.7260
27.3500	-0.8998
27.3667	-0.9867
27.3833	-1.0156
27.4000	-1.1025
27.4167	-1.1025
27.4333	-0.9287
27.4500	-0.6970
27.4667	-0.3494
27.4833	-0.0307
27.5000	0.2590
27.5167	0.4618
27.5333	0.4907
27.5500	-0.1466
27.5667	-0.6970
27.5833	-1.2184
27.6000	-1.3633
27.6167	-1.3633
27.6333	-1.1895
27.6500	-0.9577
27.6667	-0.6680
27.6833	-0.3783
27.7000	-0.1176
27.7167	-0.2335
27.7333	-0.5521
27.7500	-0.8418
27.7667	-1.1025
27.7833	-1.2474
27.8000	-1.3343
27.8167	-1.1605
27.8333	-0.9577
27.8500	-0.6680
27.8667	-0.3783
27.8833	-0.1756
27.9000	-0.0017
27.9167	-0.3204
27.9333	-0.6101
27.9500	-0.9577
27.9667	-1.1895
27.9833	-1.3633
28.0000	-1.3343
28.0167	-1.0156
28.0333	-0.7260
28.0500	-0.3204
28.0667	0.1141
28.0833	0.4328
28.1000	0.7225
28.1167	0.9832
28.1333	0.6066
28.1500	0.1431
28.1667	-0.2914
28.1833	-0.5521
28.2000	-0.4363
28.2167	-0.2625
28.2333	0.0272
28.2500	0.2879
28.2667	0.5487
28.2833	0.7804
28.3000	0.9832
28.3167	0.6356
28.3333	0.0852
28.3500	-0.3494
28.3667	-0.6390
28.3833	-0.6680
28.4000	-0.5521
28.4167	-0.3783
28.4333	-0.1466
28.4500	0.0562
28.4667	0.3749
28.4833	0.5487
28.5000	0.4907
28.5167	0.2590
28.5333	-0.0597
28.5500	-0.3204
28.5667	-0.4942
28.5833	-0.5521
28.6000	-0.3783
28.6167	-0.1176
28.6333	0.1721
28.6500	0.4618
28.6667	0.6645
28.6833	0.3749
28.7000	-0.1176
28.7167	-0.5521
28.7333	-0.9287
28.7500	-1.0736
28.7667	-1.2184
28.7833	-1.1315
28.8000	-0.9287
28.8167	-0.6390
28.8333	-0.2335
28.8500	0.0852
28.8667	0.3169
28.8833	-0.0597
28.9000	-0.2914
28.9167	-0.6680
28.9333	-0.8998
28.9500	-1.0736
28.9667	-1.1025
28.9833	-0.9867
29.0000	-0.8129
29.0167	-0.4652
29.0333	-0.2335
29.0500	-0.0307
29.0667	-0.2335
29.0833	-0.5521
29.1000	-0.8708
29.1167	-1.1605
29.1333	-1.2764
29.1500	-1.4212
29.1667	-1.3053
29.1833	-1.0446
29.2000	-0.7260
29.2167	-0.3494
29.2333	-0.0597
29.2500	0.1721
29.2667	-0.0307
29.2833	-0.3204
29.3000	-0.6390
29.3167	-0.8418
29.3333	-0.9287
29.3500	-0.9577
29.3667	-0.7549
29.3833	-0.4652
29.4000	-0.2335
29.4167	0.1141
29.4333	0.4328
29.4500	0.6935
29.4667	0.8673
29.4833	0.4038
29.5000	-0.0886
29.5167	-0.5811
29.5333	-0.9867
29.5500	-0.8129
29.5667	-0.6680
29.5833	-0.5521
29.6000	-0.0886
29.6167	0.2590
29.6333	0.5487
29.6500	0.6935
29.6667	1.0701
29.6833	0.4038
29.7000	-0.4073
29.7167	-0.8708
29.7333	-1.2764
29.7500	-1.1605
29.7667	-1.0156
29.7833	-0.7549
29.8000	-0.5232
29.8167	-0.2914
29.8333	-0.0597
29.8500	-0.2625
29.8667	-0.5232
29.8833	-0.8708
29.9000	-1.1025
29.9167	-1.2474
29.9333	-1.2474
29.9500	-1.0446
29.9667	-0.7260
29.9833	-0.3783
30.0000	0.0272
30.0167	0.3459
30.0333	0.5776
30.0500	0.3749
30.0667	-0.3494
30.0833	-0.8998
30.1000	-1.3343
30.1167	-1.5371
30.1333	-1.4212
30.1500	-1.2474
30.1667	-1.0156
30.1833	-0.6970
30.2000	-0.4073
30.2167	-0.2335
30.2333	-0.4363
30.2500	-0.7260
30.2667	-1.0156
30.2833	-1.2474
30.3000	-1.3053
30.3167	-1.2764
30.3333	-1.0446
30.3500	-0.8129
30.3667	-0.4652
30.3833	-0.1176
30.4000	0.1141
30.4167	0.3459
30.4333	0.4907
30.4500	0.0562
30.4667	-0.3494
30.4833	-0.7260
30.5000	-0.9287
30.5167	-0.8418
30.5333	-0.6970
30.5500	-0.4073
30.5667	-0.0886
30.5833	0.1431
30.6000	0.4038
30.6167	0.5197
30.6333	0.2590
30.6500	-0.1466
30.6667	-0.4652
30.6833	-0.8418
30.7000	-0.8998
30.7167	-0.7839
30.7333	-0.5811
30.7500	-0.2625
30.7667	0.0272
30.7833	0.3749
30.8000	0.6356
30.8167	0.8963
30.8333	0.6356
30.8500	0.2590
30.8667	-0.1466
30.8833	-0.4652
30.9000	-0.4942
30.9167	-0.3494
30.9333	-0.1466
30.9500	0.1431
30.9667	0.3749
30.9833	0.5197
31.0000	0.2010
31.0167	-0.0597
31.0333	-0.3783
31.0500	-0.5811
31.0667	-0.7839
31.0833	-0.8998
31.1000	-0.7839
31.1167	-0.6101
31.1333	-0.2625
31.1500	0.0852
31.1667	0.3749
31.1833	0.4907
31.2000	-0.0017
31.2167	-0.2914
31.2333	-0.6680
31.2500	-0.8708
31.2667	-1.0446
31.2833	-1.1605
31.3000	-1.0446
31.3167	-0.7839
31.3333	-0.3783
31.3500	-0.0597
31.3667	0.0562
31.3833	-0.2914
31.4000	-0.5521
31.4167	-0.6970
31.4333	-0.7839
31.4500	-0.8418
31.4667	-0.9577
31.4833	-0.8708
31.5000	-0.6390
31.5167	-0.3783
31.5333	-0.0597
31.5500	0.2010
31.5667	0.3749
31.5833	0.1141
31.6000	-0.1176
31.6167	-0.4363
31.6333	-0.6390
31.6500	-0.8129
31.6667	-0.8998
31.6833	-0.7549
31.7000	-0.5521
31.7167	-0.2335
31.7333	0.0852
31.7500	0.3459
31.7667	0.3749
31.7833	-0.0597
31.8000	-0.4073
31.8167	-0.8129
31.8333	-0.9287
31.8500	-1.0736
31.8667	-1.0446
31.8833	-0.8418
31.9000	-0.5811
31.9167	-0.2335
31.9333	0.0562
31.9500	0.2879
31.9667	0.0852
31.9833	-0.0597
32.0000	-0.3204
32.0167	-0.5811
32.0333	-0.6970
32.0500	-0.7260
32.0667	-0.5811
32.0833	-0.2914
32.1000	0.1141
32.1167	0.4907
32.1333	0.9542
32.1500	1.1280
32.1667	1.1570
32.1833	0.7804
32.2000	0.3749
32.2167	0.0562
32.2333	-0.0886
32.2500	-0.0597
32.2667	0.1141
32.2833	0.3459
32.3000	0.6645
32.3167	0.9542
32.3333	1.2149
32.3500	1.3888
32.3667	1.1860
32.3833	0.7225
32.4000	0.3169
32.4167	0.0272
32.4333	-0.1176
32.4500	-0.0017
32.4667	0.2300
32.4833	0.4907
32.5000	0.8384
32.5167	1.1570
32.5333	1.4757
32.5500	1.7654
32.5667	1.5046
32.5833	1.0122
32.6000	0.5487
32.6167	0.1721
32.6333	0.1721
32.6500	0.3459
32.6667	0.5197
32.6833	0.8384
32.7000	1.0701
32.7167	1.3308
32.7333	1.5626
32.7500	1.7074
32.7667	1.1860
32.7833	0.7804
32.8000	0.3749
32.8167	0.1721
32.8333	0.2590
32.8500	0.4328
32.8667	0.6935
32.8833	1.0122
32.9000	1.1860
32.9167	1.3598
32.9333	1.1860
32.9500	0.9542
32.9667	0.6645
32.9833	0.4038
33.0000	0.2590
33.0167	0.1721
33.0333	0.3459
33.0500	0.6066
33.0667	0.9832
33.0833	1.3019
33.1000	1.7364
33.1167	1.7654
33.1333	1.8523
33.1500	1.8523
33.1667	1.3888
33.1833	1.0122
33.2000	0.7225
33.2167	0.6645
33.2333	0.8384
33.2500	1.0991
33.2667	1.3888
33.2833	1.7364
33.3000	1.7654
33.3167	1.3598
33.3333	1.0122
33.3500	0.6645
33.3667	0.4618
33.3833	0.2879
33.4000	0.1141
33.4167	0.1141
33.4333	0.3459
33.4500	0.6935
33.4667	1.0411
33.4833	1.3019
33.5000	1.1860
33.5167	0.8673
33.5333	0.6935
33.5500	0.4618
33.5667	0.3459
33.5833	0.2300
33.6000	0.1141
33.6167	0.2590
33.6333	0.5776
33.6500	0.9542
33.6667	1.2729
33.6833	1.7074
33.7000	1.7654
33.7167	1.7074
33.7333	0.8963
33.7500	0.4038
33.7667	-0.0017
33.7833	-0.1756
33.8000	-0.2045
33.8167	-0.0017
33.8333	0.2300
33.8500	0.5487
33.8667	0.8384
33.8833	1.0701
33.9000	0.8384
33.9167	0.4907
33.9333	0.1431
33.9500	-0.1176
33.9667	-0.2625
33.9833	-0.3494
34.0000	-0.2335
34.0167	-0.0597
34.0333	0.2590
34.0500	0.5487
34.0667	0.8384
34.0833	0.8384
34.1000	0.2590
34.1167	-0.1756
34.1333	-0.5811
34.1500	-0.7549
34.1667	-0.8998
34.1833	-0.8708
34.2000	-0.6970
34.2167	-0.4073
34.2333	-0.0017
34.2500	0.3459
34.2667	0.6935
34.2833	0.9542
34.3000	0.8384
34.3167	0.3459
34.3333	-0.0307
34.3500	-0.3494
34.3667	-0.4073
34.3833	-0.2914
34.4000	-0.1756
34.4167	0.0562
34.4333	0.2879
34.4500	0.4907
34.4667	0.6645
34.4833	0.4328
34.5000	-0.0307
34.5167	-0.4652
34.5333	-0.7549
34.5500	-0.8708
34.5667	-0.8708
34.5833	-0.6970
34.6000	-0.4652
34.6167	-0.1176
34.6333	0.1721
34.6500	0.4618
34.6667	0.4907
34.6833	0.2879
34.7000	0.0272
34.7167	-0.2914
34.7333	-0.4652
34.7500	-0.5811
34.7667	-0.4363
34.7833	-0.2335
34.8000	0.0562
34.8167	0.4038
34.8333	0.7225
34.8500	0.9542
34.8667	1.0991
34.8833	0.7514
34.9000	0.2879
34.9167	-0.1466
34.9333	-0.4073
34.9500	-0.4942
34.9667	-0.2914
34.9833	-0.0307
35.0000	0.3169
35.0167	0.6356
35.0333	0.9253
35.0500	1.1860
35.0667	1.4177
35.0833	0.9832
35.1000	0.4907
35.1167	0.0272
35.1333	-0.2335
35.1500	-0.2335
35.1667	-0.0886
35.1833	0.1141
35.2000	0.4038
35.2167	0.6066
35.2333	0.8094
35.2500	0.6645
35.2667	0.4618
35.2833	0.2300
35.3000	0.0562
35.3167	-0.0886
35.3333	-0.1466
35.3500	-0.0307
35.3667	0.2010
35.3833	0.4907
35.4000	0.7804
35.4167	1.0122
35.4333	1.2439
35.4500	1.2149
35.4667	0.9253
35.4833	0.6066
35.5000	0.3169
35.5167	0.1431
35.5333	0.1141
35.5500	0.3169
35.5667	0.5487
35.5833	0.8963
35.6000	1.1570
35.6167	1.3598
35.6333	1.1570
35.6500	0.8963
35.6667	0.5776
35.6833	0.2879
35.7000	0.1431
35.7167	-0.0886
35.7333	-0.0017
35.7500	0.2300
35.7667	0.5487
35.7833	0.8963
35.8000	1.2149
35.8167	1.5336
35.8333	1.6495
35.8500	1.0991
35.8667	0.7225
35.8833	0.3169
35.9000	0.0852
35.9167	-0.0307
35.9333	0.0562
35.9500	0.2590
35.9667	0.5487
35.9833	0.8094
36.0000	1.1570
36.0167	1.4467
36.0333	1.5336
36.0500	1.0122
36.0667	0.6066
36.0833	0.1721
36.1000	-0.0886
36.1167	-0.1176
36.1333	0.0272
36.1500	0.2590
36.1667	0.5776
36.1833	0.8963
36.2000	1.1860
36.2167	1.4467
36.2333	1.3598
36.2500	0.5197
36.2667	-0.0597
36.2833	-0.6390
36.3000	-0.7839
36.3167	-0.6680
36.3333	-0.4942
36.3500	-0.2335
36.3667	0.0562
36.3833	0.3169
36.4000	0.4328
36.4167	0.1721
36.4333	-0.0017
36.4500	-0.3204
36.4667	-0.4942
36.4833	-0.6101
36.5000	-0.6101
36.5167	-0.4073
36.5333	-0.1466
36.5500	0.2590
36.5667	0.5487
36.5833	0.8673
36.6000	1.0991
36.6167	1.2149
36.6333	0.5487
36.6500	-0.1176
36.6667	-0.7260
36.6833	-1.0736
36.7000	-1.0156
36.7167	-0.8129
36.7333	-0.5232
36.7500	-0.2045
36.7667	0.1431
36.7833	0.4618
36.8000	0.6356
36.8167	0.1431
36.8333	-0.2914
36.8500	-0.7549
36.8667	-0.9577
36.8833	-1.0156
36.9000	-0.8708
36.9167	-0.6970
36.9333	-0.4073
36.9500	-0.1466
36.9667	0.1431
36.9833	0.0562
37.0000	-0.2914
37.0167	-0.5811
37.0333	-0.8998
37.0500	-1.0156
37.0667	-1.1605
37.0833	-1.0736
37.1000	-0.9287
37.1167	-0.6970
37.1333	-0.3783
37.1500	-0.1466
37.1667	-0.0597
37.1833	-0.3783
37.2000	-0.6101
37.2167	-0.9287
37.2333	-1.1025
37.2500	-1.2184
37.2667	-1.2184
37.2833	-1.0156
37.3000	-0.6970
37.3167	-0.2914
37.3333	0.1141
37.3500	0.4328
37.3667	0.7225
37.3833	0.9253
37.4000	0.5776
37.4167	0.1141
37.4333	-0.2914
37.4500	-0.5811
37.4667	-0.6390
37.4833	-0.4363
37.5000	-0.1756
37.5167	0.1141
37.5333	0.3749
37.5500	0.7225
37.5667	0.8963
37.5833	0.5487
37.6000	0.1431
37.6167	-0.2625
37.6333	-0.5232
37.6500	-0.6101
37.6667	-0.5521
37.6833	-0.3783
37.7000	-0.2045
37.7167	0.0852
37.7333	0.3749
37.7500	0.5776
37.7667	0.5487
37.7833	0.3169
37.8000	0.0562
37.8167	-0.2625
37.8333	-0.4363
37.8500	-0.5521
37.8667	-0.4073
37.8833	-0.1756
37.9000	0.1431
37.9167	0.4328
37.9333	0.5776
37.9500	0.2300
37.9667	-0.0597
37.9833	-0.3494
38.0000	-0.5811
38.0167	-0.7260
38.0333	-0.8708
38.0500	-0.8708
38.0667	-0.6970
38.0833	-0.3783
38.1000	-0.0597
38.1167	0.2010
38.1333	0.2590
38.1500	-0.0017
38.1667	-0.1466
38.1833	-0.3204
38.2000	-0.4363
38.2167	-0.5811
38.2333	-0.6970
38.2500	-0.6101
38.2667	-0.3494
38.2833	-0.0307
38.3000	0.3169
38.3167	0.5776
38.3333	0.7225
38.3500	0.3749
38.3667	0.1141
38.3833	-0.2914
38.4000	-0.4942
38.4167	-0.6680
38.4333	-0.6680
38.4500	-0.4652
38.4667	-0.2045
38.4833	0.1721
38.5000	0.5197
38.5167	0.8094
38.5333	0.9253
38.5500	0.4328
38.5667	0.0562
38.5833	-0.3783
38.6000	-0.6101
38.6167	-0.7260
38.6333	-0.6390
38.6500	-0.4363
38.6667	-0.1466
38.6833	0.2300
38.7000	0.5197
38.7167	0.7514
38.7333	0.4038
38.7500	-0.0886
38.7667	-0.4942
38.7833	-0.7549
38.8000	-0.8418
38.8167	-0.8998
38.8333	-0.8418
38.8500	-0.6970
38.8667	-0.4363
38.8833	-0.2335
38.9000	-0.1176
38.9167	-0.3204
38.9333	-0.4652
38.9500	-0.5811
38.9667	-0.6390
38.9833	-0.7260
39.0000	-0.7839
39.0167	-0.6390
39.0333	-0.4073
39.0500	-0.0597
39.0667	0.2879
39.0833	0.5776
39.1000	0.8384
39.1167	0.9832
39.1333	0.6356
39.1500	0.1141
39.1667	-0.3783
39.1833	-0.7260
39.2000	-0.8129
39.2167	-0.6680
39.2333	-0.4073
39.2500	-0.1176
39.2667	0.1721
39.2833	0.5197
39.3000	0.7514
39.3167	1.0122
39.3333	0.2879
39.3500	-0.2914
39.3667	-0.8418
39.3833	-1.1315
39.4000	-1.1315
39.4167	-1.0156
39.4333	-0.7839
39.4500	-0.4942
39.4667	-0.2335
39.4833	-0.0017
39.5000	-0.2335
39.5167	-0.5232
39.5333	-0.7839
39.5500	-0.9867
39.5667	-1.0446
39.5833	-1.1025
39.6000	-0.9867
39.6167	-0.7549
39.6333	-0.4363
39.6500	-0.1466
39.6667	0.1141
39.6833	0.3169
39.7000	0.4038
39.7167	0.1141
39.7333	-0.2625
39.7500	-0.5811
39.7667	-0.8129
39.7833	-0.8129
39.8000	-0.6101
39.8167	-0.3783
39.8333	-0.0597
39.8500	0.2590
39.8667	0.5487
39.8833	0.7225
39.9000	0.6645
39.9167	0.0852
39.9333	-0.3494
39.9500	-0.7839
39.9667	-0.9287
39.9833	-0.8708
40.0000	-0.6970
40.0167	-0.4652
40.0333	-0.2045
40.0500	0.1141
40.0667	0.3459
40.0833	0.4038
40.1000	0.1721
40.1167	-0.0886
40.1333	-0.3783
40.1500	-0.5521
40.1667	-0.6390
40.1833	-0.4942
40.2000	-0.2914
40.2167	-0.0017
40.2333	0.2879
40.2500	0.4907
40.2667	0.3169
40.2833	-0.2045
40.3000	-0.5811
40.3167	-0.9867
40.3333	-1.1605
40.3500	-1.3633
40.3667	-1.4212
40.3833	-1.2764
40.4000	-0.9577
40.4167	-0.6101
40.4333	-0.3204
40.4500	-0.1176
40.4667	-0.4652
40.4833	-0.7260
40.5000	-0.9867
40.5167	-1.1605
40.5333	-1.2764
40.5500	-1.4502
40.5667	-1.4212
40.5833	-1.2474
40.6000	-0.9867
40.6167	-0.6970
40.6333	-0.4942
40.6500	-0.7839
40.6667	-1.0446
40.6833	-1.2474
40.7000	-1.3922
40.7167	-1.4502
40.7333	-1.5660
40.7500	-1.5371
40.7667	-1.3343
40.7833	-1.0446
40.8000	-0.7260
40.8167	-0.4652
40.8333	-0.2335
40.8500	-0.2914
40.8667	-0.4942
40.8833	-0.7260
40.9000	-1.0156
40.9167	-1.1605
40.9333	-1.3053
40.9500	-1.1895
40.9667	-0.9867
40.9833	-0.6390
41.0000	-0.2625
41.0167	0.0272
41.0333	0.3459
41.0500	0.6066
41.0667	0.3459
41.0833	-0.4073
41.1000	-0.9577
41.1167	-1.4791
41.1333	-1.5950
41.1500	-1.4502
41.1667	-1.2184
41.1833	-0.9287
41.2000	-0.6101
41.2167	-0.2045
41.2333	0.1141
41.2500	0.4328
41.2667	0.3459
41.2833	-0.4652
41.3000	-1.0156
41.3167	-1.5660
41.3333	-1.5950
41.3500	-1.4502
41.3667	-1.2764
41.3833	-1.1025
41.4000	-0.8998
41.4167	-0.6680
41.4333	-0.7549
41.4500	-0.9867
41.4667	-1.2474
41.4833	-1.5081
41.5000	-1.6530
41.5167	-1.7109
41.5333	-1.5660
41.5500	-1.3343
41.5667	-1.0156
41.5833	-0.6970
41.6000	-0.3783
41.6167	-0.1756
41.6333	-0.0597
41.6500	-0.4942
41.6667	-0.8998
41.6833	-1.3633
41.7000	-1.5950
41.7167	-1.5950
41.7333	-1.4212
41.7500	-1.1605
41.7667	-0.8418
41.7833	-0.4652
41.8000	-0.1466
41.8167	0.1141
41.8333	0.1431
41.8500	-0.4942
41.8667	-0.9867
41.8833	-1.4791
41.9000	-1.6240
41.9167	-1.5371
41.9333	-1.3343
41.9500	-1.0736
41.9667	-0.8418
41.9833	-0.5811
42.0000	-0.3494
42.0167	-0.3494
42.0333	-0.6101
42.0500	-0.9287
42.0667	-1.2184
42.0833	-1.3922
42.1000	-1.3922
42.1167	-1.1895
42.1333	-0.9577
42.1500	-0.6680
42.1667	-0.3783
42.1833	-0.1176
42.2000	0.0272
42.2167	-0.2625
42.2333	-0.5811
42.2500	-0.9867
42.2667	-1.2184
42.2833	-1.3633
42.3000	-1.2764
42.3167	-1.1025
42.3333	-0.8129
42.3500	-0.3783
42.3667	-0.0886
42.3833	0.2010
42.4000	0.4038
42.4167	0.4038
42.4333	0.0272
42.4500	-0.3204
42.4667	-0.6680
42.4833	-0.7839
42.5000	-0.6970
42.5167	-0.5232
42.5333	-0.2914
42.5500	-0.0597
42.5667	0.1431
42.5833	-0.0017
42.6000	-0.3204
42.6167	-0.5811
42.6333	-0.8418
42.6500	-1.0156
42.6667	-1.2184
42.6833	-1.2764
42.7000	-1.0736
42.7167	-0.7549
42.7333	-0.4073
42.7500	-0.0886
42.7667	0.2300
42.7833	0.3459
42.8000	-0.1466
42.8167	-0.4942
42.8333	-1.0446
42.8500	-1.3633
42.8667	-1.5371
42.8833	-1.5081
42.9000	-1.2764
42.9167	-0.9287
42.9333	-0.5521
42.9500	-0.1466
42.9667	0.1721
42.9833	0.2300
43.0000	-0.3204
43.0167	-0.7549
43.0333	-1.2184
43.0500	-1.4791
43.0667	-1.5081
43.0833	-1.4212
43.1000	-1.2474
43.1167	-0.9287
43.1333	-0.6970
43.1500	-0.4073
43.1667	-0.4073
43.1833	-0.7839
43.2000	-1.1025
43.2167	-1.4212
43.2333	-1.5950
43.2500	-1.6530
43.2667	-1.6240
43.2833	-1.5081
43.3000	-1.2764
43.3167	-1.0156
43.3333	-0.7839
43.3500	-0.6970
43.3667	-1.0446
43.3833	-1.3343
43.4000	-1.6530
43.4167	-1.8268
43.4333	-1.9716
43.4500	-2.0006
43.4667	-1.8268
43.4833	-1.5371
43.5000	-1.1605
43.5167	-0.8129
43.5333	-0.4652
43.5500	-0.2914
43.5667	-0.4942
43.5833	-0.7549
43.6000	-1.1025
43.6167	-1.3633
43.6333	-1.5371
43.6500	-1.5081
43.6667	-1.2764
43.6833	-0.9577
43.7000	-0.6101
43.7167	-0.2045
43.7333	0.2010
43.7500	0.3459
43.7667	-0.0307
43.7833	-0.3494
43.8000	-0.7260
43.8167	-0.9577
43.8333	-0.9867
43.8500	-0.8708
43.8667	-0.6970
43.8833	-0.4652
43.9000	-0.1756
43.9167	0.0562
43.9333	0.2010
43.9500	0.0562
43.9667	-0.1466
43.9833	-0.4942
44.0000	-0.7260
44.0167	-0.8998
44.0333	-0.8418
44.0500	-0.6680
44.0667	-0.3783
44.0833	-0.0017
44.1000	0.3169
44.1167	0.6066
44.1333	0.7804
44.1500	0.5197
44.1667	-0.0597
44.1833	-0.5521
44.2000	-0.8998
44.2167	-1.0446
44.2333	-0.9287
